module	class	vm	rc	state	wall_s	tests	fail	note
crypto	org.keycloak.crypto.def.test.DefaultCryptoJWKSUtilsTest	hotspot	0	PASS	2.1	3	0	-
crypto	org.keycloak.crypto.def.test.DefaultCryptoJWKTest	cratonvm	1	FAIL	28.1	10	7	1) testCertificateGenerationWithEcAndRsa(org.keycloak.crypto.def.test.DefaultCryptoJWKTest)
crypto	org.keycloak.crypto.def.test.DefaultCryptoJWKTest	hotspot	0	PASS	3.4	10	0	-
crypto	org.keycloak.crypto.def.test.DefaultCryptoKeyPairVerifierTest	cratonvm	1	FAIL	7.1	4	4	1) verifyWith1024PrivateKeyInPKCS8Format(org.keycloak.crypto.def.test.DefaultCryptoKeyPairVerifierTest)
crypto	org.keycloak.crypto.def.test.DefaultCryptoKeyPairVerifierTest	hotspot	0	PASS	2.1	4	0	-
crypto	org.keycloak.crypto.def.test.DefaultCryptoRSAVerifierTest	cratonvm	0	PASS	20.2	9	0	
crypto	org.keycloak.crypto.def.test.DefaultCryptoRSAVerifierTest	hotspot	0	PASS	4.7	9	0	-
crypto	org.keycloak.crypto.def.test.DefaultCryptoUnitTest	cratonvm	0	PASS	4.3	1	0	
crypto	org.keycloak.crypto.def.test.DefaultCryptoUnitTest	hotspot	0	PASS	1.4	1	0	-
crypto	org.keycloak.crypto.def.test.DefaultKeyStoreTypesTest	cratonvm	0	PASS	4.5	2	0	
crypto	org.keycloak.crypto.def.test.DefaultKeyStoreTypesTest	hotspot	0	PASS	1.4	2	0	-
crypto	org.keycloak.crypto.def.test.DefaultSecureRandomTest	cratonvm	0	PASS	3.9	1	0	
crypto	org.keycloak.crypto.def.test.DefaultSecureRandomTest	hotspot	0	PASS	1.5	1	0	-
crypto	org.keycloak.crypto.def.test.PemUtilsBCTest	cratonvm	1	FAIL	9.2	6	2	1) testEncodeAndDecodeGeneratedObjects(org.keycloak.crypto.def.test.PemUtilsBCTest)
crypto	org.keycloak.crypto.def.test.PemUtilsBCTest	hotspot	0	PASS	2.0	6	0	-
crypto	org.keycloak.crypto.def.test.sdjwt.DefaultCryptoJwtVcMetadataTrustedSdJwtIssuerTest	cratonvm	0	PASS	10.2	16	0	
crypto	org.keycloak.crypto.def.test.sdjwt.DefaultCryptoJwtVcMetadataTrustedSdJwtIssuerTest	hotspot	0	PASS	2.0	16	0	-
crypto	org.keycloak.crypto.def.test.sdjwt.DefaultCryptoSdJwsTest	cratonvm	0	PASS	7.9	14	0	
crypto	org.keycloak.crypto.def.test.sdjwt.DefaultCryptoSdJwsTest	hotspot	0	PASS	2.0	14	0	-
crypto	org.keycloak.crypto.def.test.sdjwt.DefaultCryptoSdJwtCreationAndSigningTest	cratonvm	0	PASS	8.6	2	0	
crypto	org.keycloak.crypto.def.test.sdjwt.DefaultCryptoSdJwtCreationAndSigningTest	hotspot	0	PASS	2.1	2	0	-
crypto	org.keycloak.crypto.def.test.sdjwt.DefaultCryptoSdJwtKeyBindingTest	cratonvm	1	FAIL	39.8	7	5	1) testRSA4096KeyBinding(org.keycloak.crypto.def.test.sdjwt.DefaultCryptoSdJwtKeyBindingTest)
crypto	org.keycloak.crypto.def.test.sdjwt.DefaultCryptoSdJwtKeyBindingTest	hotspot	1	FAIL	7.6	7	2	-
crypto	org.keycloak.crypto.def.test.sdjwt.DefaultCryptoSdJwtPresentationConsumerTest	cratonvm	0	PASS	8.6	2	0	    org.keycloak.common.VerificationException: org.keycloak.common.VerificationException: Invalid jws signature
crypto	org.keycloak.crypto.def.test.sdjwt.DefaultCryptoSdJwtPresentationConsumerTest	hotspot	0	PASS	2.2	2	0	-
crypto	org.keycloak.crypto.def.test.sdjwt.DefaultCryptoSdJwtVPTest	cratonvm	0	PASS	9.2	14	0	
crypto	org.keycloak.crypto.def.test.sdjwt.DefaultCryptoSdJwtVPTest	hotspot	0	PASS	2.1	14	0	-
crypto	org.keycloak.crypto.def.test.sdjwt.DefaultCryptoSdJwtVPVerificationTest	cratonvm	1	FAIL	19.0	24	2	1) testVerif_s20_8_sdjwt_with_kb__CnfRSA(org.keycloak.crypto.def.test.sdjwt.DefaultCryptoSdJwtVPVerificationTest)
crypto	org.keycloak.crypto.def.test.sdjwt.DefaultCryptoSdJwtVPVerificationTest	hotspot	0	PASS	2.5	24	0	-
crypto	org.keycloak.crypto.def.test.sdjwt.DefaultCryptoSdJwtVerificationTest	cratonvm	0	PASS	14.4	16	0	    org.keycloak.common.VerificationException: org.keycloak.common.VerificationException: Invalid jws signature
crypto	org.keycloak.crypto.def.test.sdjwt.DefaultCryptoSdJwtVerificationTest	hotspot	0	PASS	2.1	16	0	-
common	org.keycloak.common.ProfileTest	cratonvm	1	FAIL	1.7	0	0	
common	org.keycloak.common.ProfileTest	hotspot	1	FAIL	0.3	0	0	-
common	org.keycloak.common.crypto.CryptoIntegrationTest	cratonvm	1	FAIL	1.7	0	0	
common	org.keycloak.common.crypto.CryptoIntegrationTest	hotspot	1	FAIL	0.3	0	0	-
common	org.keycloak.common.enums.SslRequiredTest	cratonvm	1	FAIL	1.8	0	0	
common	org.keycloak.common.enums.SslRequiredTest	hotspot	1	FAIL	0.2	0	0	-
common	org.keycloak.common.util.Base64DecodeTest	cratonvm	1	FAIL	1.7	0	0	
