# class	method	descriptor	kind	registered_by	bucket
# GATED, NOT deletion candidates: this VM ALLOCATES the class, so it reaches
# these registrations through its own instances and no census of JDK images can
# adjudicate them. Split out 2026-08-10 by the class-level fifth-image rule.
java/util/concurrent/atomic/AtomicReferenceFieldUpdater$RustJvmImpl	set	(Ljava/lang/Object;Ljava/lang/Object;)V	bridge	native-builtins/src/atomic_updater.rs:986	class-absent
java/util/concurrent/atomic/AtomicReferenceFieldUpdater$RustJvmImpl	updateAndGet	(Ljava/lang/Object;Ljava/util/function/UnaryOperator;)Ljava/lang/Object;	bridge	native-builtins/src/atomic_updater.rs:1022	class-absent
java/util/concurrent/atomic/AtomicReferenceFieldUpdater$RustJvmImpl	weakCompareAndSet	(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Z	bridge	native-builtins/src/atomic_updater.rs:1004	class-absent
java/util/function/Consumer$AndThen	accept	(Ljava/lang/Object;)V	bridge	native-builtins/src/phases_late/streams.rs:2924	class-absent
java/util/function/Function$Compose	apply	(Ljava/lang/Object;)Ljava/lang/Object;	bridge	native-builtins/src/phases_late/streams.rs:2866	class-absent
java/util/function/Predicate$$Lambda$And	test	(Ljava/lang/Object;)Z	bridge	native-builtins/src/phases_late/streams.rs:2581	class-absent
java/util/function/Predicate$$Lambda$Negate	test	(Ljava/lang/Object;)Z	bridge	native-builtins/src/phases_late/streams.rs:2671	class-absent
java/util/function/Predicate$$Lambda$Or	test	(Ljava/lang/Object;)Z	bridge	native-builtins/src/phases_late/streams.rs:2626	class-absent
java/util/logging/LogManager$StringEnumeration	hasMoreElements	()Z	bridge	native-builtins/src/logmanager.rs:6242	class-absent
java/util/logging/LogManager$StringEnumeration	nextElement	()Ljava/lang/Object;	bridge	native-builtins/src/logmanager.rs:6248	class-absent
javax/net/ssl/SSLSocketInputStream	available	()I	bridge	native-builtins/src/phases_late/ssl_security.rs:3092	class-absent
javax/net/ssl/SSLSocketInputStream	close	()V	bridge	native-builtins/src/phases_late/ssl_security.rs:3138	class-absent
javax/net/ssl/SSLSocketInputStream	read	()I	bridge	native-builtins/src/phases_late/ssl_security.rs:2976	class-absent
javax/net/ssl/SSLSocketInputStream	read	([BII)I	bridge	native-builtins/src/phases_late/ssl_security.rs:3026	class-absent
javax/net/ssl/SSLSocketOutputStream	close	()V	bridge	native-builtins/src/phases_late/ssl_security.rs:3268	class-absent
javax/net/ssl/SSLSocketOutputStream	flush	()V	bridge	native-builtins/src/phases_late/ssl_security.rs:3265	class-absent
javax/net/ssl/SSLSocketOutputStream	write	(I)V	bridge	native-builtins/src/phases_late/ssl_security.rs:3142	class-absent
javax/net/ssl/SSLSocketOutputStream	write	([BII)V	bridge	native-builtins/src/phases_late/ssl_security.rs:3173	class-absent
jdk/internal/ref/DirectBufferDeallocator	run	()V	bridge	native-builtins/src/servlet.rs:6220	class-absent
java/io/File	pathSeparator	Ljava/lang/String;	bridge	native-builtins/src/phases_late/nio_file.rs:13604	method-nowhere
java/io/File	pathSeparatorChar	C	bridge	native-builtins/src/phases_late/nio_file.rs:13612	method-nowhere
java/io/File	separator	Ljava/lang/String;	bridge	native-builtins/src/phases_late/nio_file.rs:13595	method-nowhere
java/io/File	separatorChar	C	bridge	native-builtins/src/phases_late/nio_file.rs:13601	method-nowhere
java/io/FileDescriptor	registerNatives	()V	bridge	native-builtins/src/lib.rs:14275	method-nowhere
java/io/FileInputStream	registerNatives	()V	bridge	native-builtins/src/lib.rs:14263	method-nowhere
java/io/FileOutputStream	registerNatives	()V	bridge	native-builtins/src/lib.rs:14269	method-nowhere
java/io/ObjectStreamClass	hasStaticInitializer	(Ljava/lang/Class;Z)Z	bridge	native-builtins/src/lib.rs:18623	method-nowhere
java/io/PrintStream	write	(Ljava/lang/String;II)V	bridge	native-builtins/src/logging_shims.rs:192	method-nowhere
java/io/UnixFileSystem	delete0	(Ljava/io/File;Z)Z	bridge	native-builtins/src/phases_late/nio_file.rs:6616	method-nowhere
java/io/UnixFileSystem	getDriveDirectory	(I)Ljava/lang/String;	bridge	native-builtins/src/phases_late/nio_file.rs:6616	method-nowhere
java/io/UnixFileSystem	getFinalPath0	(Ljava/lang/String;)Ljava/lang/String;	bridge	native-builtins/src/phases_late/nio_file.rs:6616	method-nowhere
java/io/UnixFileSystem	getNameMax0	(Ljava/lang/String;)I	bridge	native-builtins/src/phases_late/nio_file.rs:6616	method-nowhere
java/io/UnixFileSystem	listRoots0	()I	bridge	native-builtins/src/phases_late/nio_file.rs:6616	method-nowhere
java/lang/Class	hasRealParameterData	()Z	bridge	native-builtins/src/lib.rs:12288	method-nowhere
java/lang/Object	accumulator	()Ljava/util/function/BiConsumer;	bridge	native-collections/src/lib.rs:20424	method-nowhere
java/lang/Object	combiner	()Ljava/util/function/BinaryOperator;	bridge	native-collections/src/lib.rs:20436	method-nowhere
java/lang/Object	finisher	()Ljava/util/function/Function;	bridge	native-collections/src/lib.rs:20430	method-nowhere
java/lang/Object	registerNatives	()V	bridge	native-builtins/src/lib.rs:9782	method-nowhere
java/lang/Object	supplier	()Ljava/util/function/Supplier;	bridge	native-collections/src/lib.rs:20418	method-nowhere
java/lang/ProcessBuilder$Redirect	INHERIT	()Ljava/lang/ProcessBuilder$Redirect;	bridge	native-builtins/src/phases_late.rs:1722	method-nowhere
java/lang/ProcessBuilder$Redirect	PIPE	()Ljava/lang/ProcessBuilder$Redirect;	bridge	native-builtins/src/phases_late.rs:1712	method-nowhere
java/lang/StackStreamFactory$AbstractStackWalker	callStackWalk	(JIIII[Ljava/lang/Object;)I	bridge	native-builtins/src/lang_stackwalker.rs:736	method-nowhere
java/lang/StackStreamFactory$AbstractStackWalker	callStackWalk	(JIII[Ljava/lang/Object;[Ljava/lang/Class;)Ljava/lang/Object;	bridge	native-builtins/src/lang_stackwalker.rs:666	method-nowhere
java/lang/StackStreamFactory$AbstractStackWalker	checkStackWalkModes	()Z	bridge	native-builtins/src/stack_walker.rs:385	method-nowhere
java/lang/StackStreamFactory$AbstractStackWalker	fetchStackFrames	(JJII)I	bridge	native-builtins/src/lang_stackwalker.rs:767	method-nowhere
java/lang/StackTraceElement	initStackTraceElements	([Ljava/lang/StackTraceElement;Ljava/lang/Throwable;)V	bridge	native-builtins/src/lib.rs:16731	method-nowhere
java/lang/StackWalker$StackFrame	toString	()Ljava/lang/String;	bridge	native-builtins/src/phases_late/reflect_invoke.rs:1726	method-nowhere
java/lang/System$1	blockedOn	(Ljava/lang/Thread;Lsun/nio/ch/Interruptible;)V	bridge	native-builtins/src/shared_secrets_bridge.rs:1079	method-nowhere
java/lang/System$1	currentThread0	()Ljava/lang/Thread;	bridge	native-builtins/src/lib.rs:30364	method-nowhere
java/lang/System$1	currentThread0	()Ljava/lang/Thread;	bridge	native-builtins/src/shared_secrets_bridge.rs:1019	method-nowhere
java/lang/System$1	findNative	(Ljava/lang/ClassLoader;Ljava/lang/String;)J	bridge	native-builtins/src/shared_secrets_bridge.rs:1248	method-nowhere
java/lang/System$1	getBytesNoRepl	(Ljava/lang/String;Ljava/nio/charset/Charset;)[B	bridge	native-builtins/src/shared_secrets_bridge.rs:1170	method-nowhere
java/lang/System$1	getBytesUtf8NoRepl	(Ljava/lang/String;)[B	bridge	native-builtins/src/shared_secrets_bridge.rs:1141	method-nowhere
java/lang/System$1	getDeclaredPublicMethods	(Ljava/lang/Class;)[Ljava/lang/reflect/Method;	bridge	native-builtins/src/shared_secrets_bridge.rs:1189	method-nowhere
java/lang/System$1	getEnumConstantsShared	(Ljava/lang/Class;)[Ljava/lang/Object;	bridge	native-builtins/src/shared_secrets_bridge.rs:1121	method-nowhere
java/lang/System$1	getMethodsOrNull	(Ljava/lang/Class;)[Ljava/lang/reflect/Method;	bridge	native-builtins/src/shared_secrets_bridge.rs:1195	method-nowhere
java/lang/System$1	getReflectionFactory	()Ljdk/internal/reflect/ReflectionFactory;	bridge	native-builtins/src/shared_secrets_bridge.rs:1073	method-nowhere
java/lang/System$1	isCarrierThreadLocalPresent	(Ljdk/internal/misc/CarrierThreadLocal;)Z	bridge	native-builtins/src/shared_secrets_bridge.rs:1109	method-nowhere
java/lang/System$1	newStackTraceElement	(Ljava/lang/StackWalker$StackFrame;)Ljava/lang/StackTraceElement;	bridge	native-builtins/src/shared_secrets_bridge.rs:1177	method-nowhere
java/lang/System$1	newStringUtf8NoRepl	([BII)Ljava/lang/String;	bridge	native-builtins/src/shared_secrets_bridge.rs:1135	method-nowhere
java/lang/Thread	destroy	()V	bridge	native-builtins/src/deprecated_lang.rs:382	method-nowhere
java/lang/Thread	resume0	()V	bridge	native-builtins/src/deprecated_lang.rs:379	method-nowhere
java/lang/Thread	stop0	(Ljava/lang/Object;)V	bridge	native-builtins/src/lib.rs:13703	method-nowhere
java/lang/Thread	stop0	(Ljava/lang/Object;)V	bridge	native-builtins/src/deprecated_lang.rs:369	method-nowhere
java/lang/Thread	suspend0	()V	bridge	native-builtins/src/deprecated_lang.rs:378	method-nowhere
java/lang/Throwable	getStackTraceDepth	()I	bridge	native-builtins/src/lib.rs:15285	method-nowhere
java/lang/Throwable	getStackTraceElement	(I)Ljava/lang/StackTraceElement;	bridge	native-builtins/src/lib.rs:15291	method-nowhere
java/lang/foreign/MemorySegment	NULL	Ljava/lang/foreign/MemorySegment;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2027	method-nowhere
java/lang/foreign/MemorySegment	allocateFrom	(Ljava/lang/foreign/Arena;Ljava/lang/foreign/ValueLayout;I)Ljava/lang/foreign/MemorySegment;	bridge	native-builtins/src/panama.rs:947	method-nowhere
java/lang/foreign/MemorySegment	allocateFrom	(Ljava/lang/foreign/Arena;Ljava/lang/foreign/ValueLayout;J)Ljava/lang/foreign/MemorySegment;	bridge	native-builtins/src/panama.rs:973	method-nowhere
java/lang/foreign/MemorySegment	get	(Ljava/lang/foreign/ValueLayout;J)Ljava/lang/Object;	bridge	native-builtins/src/panama.rs:745	method-nowhere
java/lang/foreign/MemorySegment	getAtIndex	(Ljava/lang/foreign/ValueLayout;J)Ljava/lang/Object;	bridge	native-builtins/src/panama.rs:775	method-nowhere
