# class	method	descriptor	kind	registered_by	bucket
java/lang/AbstractStringBuilder	replace	(IILjava/lang/String;)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:656	method-nowhere
java/lang/AbstractStringBuilder	replace	(IILjava/lang/String;)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:650	method-nowhere
java/lang/AbstractStringBuilder	reverse	()Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:534	method-nowhere
java/lang/AbstractStringBuilder	reverse	()Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:528	method-nowhere
java/lang/Class	hasRealParameterData	()Z	bridge	native-builtins/src/lib.rs:12244	method-nowhere
java/lang/Object	accumulator	()Ljava/util/function/BiConsumer;	bridge	native-collections/src/lib.rs:21404	method-nowhere
java/lang/Object	combiner	()Ljava/util/function/BinaryOperator;	bridge	native-collections/src/lib.rs:21416	method-nowhere
java/lang/Object	finisher	()Ljava/util/function/Function;	bridge	native-collections/src/lib.rs:21410	method-nowhere
java/lang/Object	registerNatives	()V	bridge	native-builtins/src/lib.rs:9961	method-nowhere
java/lang/Object	supplier	()Ljava/util/function/Supplier;	bridge	native-collections/src/lib.rs:21398	method-nowhere
java/lang/ProcessBuilder$Redirect	INHERIT	()Ljava/lang/ProcessBuilder$Redirect;	bridge	native-builtins/src/phases_late.rs:1564	method-nowhere
java/lang/ProcessBuilder$Redirect	PIPE	()Ljava/lang/ProcessBuilder$Redirect;	bridge	native-builtins/src/phases_late.rs:1554	method-nowhere
java/lang/ProcessHandleImpl	destroyProcess0	(JZ)Z	bridge	native-io/src/process.rs:4350	method-nowhere
java/lang/StackStreamFactory$AbstractStackWalker	callStackWalk	(JIIII[Ljava/lang/Object;)I	bridge	native-builtins/src/lang_stackwalker.rs:736	method-nowhere
java/lang/StackStreamFactory$AbstractStackWalker	callStackWalk	(JIII[Ljava/lang/Object;[Ljava/lang/Class;)Ljava/lang/Object;	bridge	native-builtins/src/lang_stackwalker.rs:666	method-nowhere
java/lang/StackStreamFactory$AbstractStackWalker	checkStackWalkModes	()Z	bridge	native-builtins/src/stack_walker.rs:386	method-nowhere
java/lang/StackStreamFactory$AbstractStackWalker	fetchStackFrames	(JJII)I	bridge	native-builtins/src/lang_stackwalker.rs:767	method-nowhere
java/lang/StackTraceElement	initStackTraceElements	([Ljava/lang/StackTraceElement;Ljava/lang/Throwable;)V	bridge	native-builtins/src/lib.rs:16828	method-nowhere
java/lang/StackWalker$StackFrame	toString	()Ljava/lang/String;	bridge	native-builtins/src/phases_late/reflect_invoke.rs:2216	method-nowhere
java/lang/StringBuffer	append	(C)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:239	method-nowhere
java/lang/StringBuffer	append	(D)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:380	method-nowhere
java/lang/StringBuffer	append	(F)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:398	method-nowhere
java/lang/StringBuffer	append	(I)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:221	method-nowhere
java/lang/StringBuffer	append	(J)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:362	method-nowhere
