# stale-handle-across-allocation baseline — scripts/stale-handle-across-alloc-audit.py
# <count>	<file>::<fn> — a RATCHET, not a target: triage is by hand and a match is not a defect.
2	native-builtins/src/reflect_annotations.rs::register_annotation_overrides{closure@991}
1	native-builtins/src/reflect_annotations.rs::register_module_builder_overrides{closure@2249}
1	native-builtins/src/reflect_annotations.rs::register_module_builder_overrides{closure@2340}
2	native-builtins/src/service_loader.rs::discover_providers
1	native-builtins/src/service_loader.rs::native_stream_support_stream_from_spliterator
1	native-builtins/src/servlet.rs::s1_service_loader_ensure_loaded
1	native-builtins/src/spring_startup_bootstrap.rs::register{closure@1487}
1	native-builtins/src/system_bootstrap.rs::native_vm_properties
3	native-builtins/src/t3_impl.rs::jndi_put_binding
1	native-builtins/src/t3_impl.rs::register_t312_tooling{closure@1847}
2	native-builtins/src/t3_impl.rs::stax_create_event_reader
2	native-builtins/src/t3_impl.rs::stax_create_stream_reader
1	native-builtins/src/t3_impl.rs::stax_read_input_stream
3	native-builtins/src/test_frameworks.rs::native_test_plan_scanner_filter_accept
3	native-builtins/src/util_concurrent_ext.rs::native_cf_then_accept
1	native-builtins/src/util_concurrent_ext.rs::native_cf_then_apply
2	native-builtins/src/util_concurrent_ext.rs::register_executor_natives
3	native-builtins/src/util_concurrent_ext.rs::register_t31_concurrent_extras{closure@3408}
1	native-builtins/src/util_time.rs::native_zdt_of_full
2	native-builtins/src/util_time.rs::native_zone_id_get_available
2	native-builtins/src/x509_manager.rs::extended_tm_sni_host_name
3	native-builtins/src/x509_manager.rs::extract_pkix_trust_anchor_ders
1	native-builtins/src/x509_manager.rs::extract_revocation_config
3	native-builtins/src/x509_manager.rs::read_revocation_checker_config
1	native-builtins/src/xml_stax.rs::native_get_attr_qname
1	native-builtins/src/xml_stax.rs::serialize_dom_node
1	native-builtins/src/xml_xerces.rs::native_xml_entity_scanner_scan_qname{closure@1063}
1	native-builtins/src/xnio_async.rs::ensure_options_initialized
1	native-io/src/datagram.rs::dgram_join_group
1	native-io/src/nio_selector.rs::channel_register_native
1	native-io/src/process.rs::read_process_redirect
1	native-io/src/stream_decoder.rs::decode_into
1	native-io/src/stream_encoder.rs::native_se_close
1	native-io/src/zip_real_jar.rs::alloc_zip_entry
