# class	method	descriptor	kind	registered_by	gated_because
jdk/internal/misc/SharedSecrets	getJavaIORandomAccessFileAccess	()Ljdk/internal/access/JavaIORandomAccessFileAccess;	synthetic-stub	native-builtins/src/shared_secrets_bridge.rs:222	kind=synthetic-stub
jdk/internal/misc/SharedSecrets	getJavaLangAccess	()Ljdk/internal/access/JavaLangAccess;	synthetic-stub	native-builtins/src/lib.rs:30584	kind=synthetic-stub
jdk/internal/misc/SharedSecrets	getJavaLangAccess	()Ljdk/internal/access/JavaLangAccess;	synthetic-stub	native-builtins/src/shared_secrets_bridge.rs:222	kind=synthetic-stub
jdk/internal/misc/SharedSecrets	getJavaLangInvokeAccess	()Ljdk/internal/access/JavaLangInvokeAccess;	synthetic-stub	native-builtins/src/shared_secrets_bridge.rs:222	kind=synthetic-stub
jdk/internal/misc/SharedSecrets	getJavaLangRefAccess	()Ljdk/internal/access/JavaLangRefAccess;	synthetic-stub	native-builtins/src/shared_secrets_bridge.rs:222	kind=synthetic-stub
jdk/internal/misc/SharedSecrets	getJavaLangReflectAccess	()Ljdk/internal/access/JavaLangReflectAccess;	synthetic-stub	native-builtins/src/shared_secrets_bridge.rs:222	kind=synthetic-stub
jdk/internal/misc/SharedSecrets	getJavaNetHttpCookieAccess	()Ljdk/internal/access/JavaNetHttpCookieAccess;	synthetic-stub	native-builtins/src/shared_secrets_bridge.rs:222	kind=synthetic-stub
jdk/internal/misc/SharedSecrets	getJavaNetInetAddressAccess	()Ljdk/internal/access/JavaNetInetAddressAccess;	synthetic-stub	native-builtins/src/shared_secrets_bridge.rs:222	kind=synthetic-stub
jdk/internal/misc/SharedSecrets	getJavaNetUriAccess	()Ljdk/internal/access/JavaNetUriAccess;	synthetic-stub	native-builtins/src/shared_secrets_bridge.rs:222	kind=synthetic-stub
jdk/internal/misc/SharedSecrets	getJavaNioAccess	()Ljdk/internal/access/JavaNioAccess;	synthetic-stub	native-builtins/src/shared_secrets_bridge.rs:222	kind=synthetic-stub
jdk/internal/misc/SharedSecrets	getJavaSecurityAccess	()Ljdk/internal/access/JavaSecurityAccess;	synthetic-stub	native-builtins/src/shared_secrets_bridge.rs:222	kind=synthetic-stub
jdk/internal/misc/SharedSecrets	getJavaUtilJarAccess	()Ljdk/internal/access/JavaUtilJarAccess;	synthetic-stub	native-builtins/src/shared_secrets_bridge.rs:222	kind=synthetic-stub
jdk/internal/misc/SharedSecrets	getJavaUtilResourceBundleAccess	()Ljdk/internal/access/JavaUtilResourceBundleAccess;	synthetic-stub	native-builtins/src/shared_secrets_bridge.rs:222	kind=synthetic-stub
jdk/internal/misc/SharedSecrets	getJavaUtilZipFileAccess	()Ljdk/internal/access/JavaUtilZipFileAccess;	synthetic-stub	native-builtins/src/shared_secrets_bridge.rs:222	kind=synthetic-stub
jdk/internal/ref/BucketDirectBufferDeallocator	run	()V	synthetic-stub	native-io/src/direct_buffer.rs:1839	kind=synthetic-stub
jdk/internal/ref/DirectBufferDeallocator	run	()V	synthetic-stub	native-builtins/src/servlet.rs:6549	kind=synthetic-stub
sun/management/Flag	getAllFlagNames	()[Ljava/lang/String;	synthetic-stub	native-builtins/src/jmx.rs:3316	kind=synthetic-stub
sun/management/Flag	getAllFlags	()[Lsun/management/Flag;	synthetic-stub	native-builtins/src/jmx.rs:3329	kind=synthetic-stub
