org.springframework.test.context.web.WebAppConfigurationBootstrapWithTests	FAIL	FAIL	1	0	1	261
org.springframework.test.web.servlet.assertj.MockMvcTesterIntegrationTests	FAIL	OK	74	74	0	4051
org.springframework.test.web.servlet.htmlunit.AbstractWebRequestMatcherTests	EMPTY	EMPTY	0	0	0	8
org.springframework.test.web.servlet.samples.client.context.WebAppResourceTests	FAIL	FAIL	2	1	1	1374
org.springframework.test.web.servlet.samples.context.WebAppResourceTests	FAIL	FAIL	2	1	1	728
org.springframework.transaction.interceptor.AbstractCoroutinesTransactionAspectTests	EMPTY	EMPTY	0	0	0	1380
org.springframework.transaction.interceptor.AbstractReactiveTransactionAspectTests	EMPTY	EMPTY	0	0	0	1002
org.springframework.transaction.interceptor.AbstractTransactionAspectTests	EMPTY	EMPTY	0	0	0	1067
org.springframework.util.xml.AbstractStaxHandlerTests	EMPTY	EMPTY	0	0	0	6
org.springframework.util.xml.AbstractStaxXMLReaderTests	EMPTY	EMPTY	0	0	0	11
org.springframework.web.client.AbstractMockWebServerTests	EMPTY	EMPTY	0	0	0	19
org.springframework.web.reactive.function.server.AbstractRouterFunctionIntegrationTests	EMPTY	EMPTY	0	0	0	45
org.springframework.web.reactive.resource.ResourceWebHandlerTests	FAIL	FAIL	56	55	1	3575
org.springframework.web.reactive.result.method.annotation.AbstractRequestMappingIntegrationTests	EMPTY	EMPTY	0	0	0	34
org.springframework.web.reactive.result.method.annotation.CrossOriginAnnotationIntegrationTests	TIMEOUT	OK	68	68	0	12187
org.springframework.web.reactive.result.method.annotation.RequestMappingMessageConversionIntegrationTests	TIMEOUT	OK	160	160	0	13110
org.springframework.web.reactive.socket.AbstractReactiveWebSocketIntegrationTests	EMPTY	EMPTY	0	0	0	11
org.springframework.web.service.registry.HttpServiceProxyRegistrationAotProcessorTests	FAIL	OK	5	5	0	8340
org.springframework.web.service.registry.ImportHttpServiceRegistrarTests	FAIL	OK	5	5	0	6821
org.springframework.web.servlet.config.MvcNamespaceTests	FAIL	OK	25	25	0	3478
org.springframework.web.servlet.config.annotation.ViewResolutionIntegrationTests	FAIL	OK	7	7	0	2560
org.springframework.web.servlet.handler.PathPatternsParameterizedTest	EMPTY	EMPTY	0	0	0	18
org.springframework.web.servlet.mvc.method.annotation.AbstractRequestAttributesArgumentResolverTests	EMPTY	EMPTY	0	0	0	6
org.springframework.web.servlet.mvc.method.annotation.AbstractServletHandlerMethodTests	EMPTY	EMPTY	0	0	0	15
org.springframework.web.servlet.tags.AbstractTagTests	EMPTY	EMPTY	0	0	0	10
org.springframework.web.servlet.tags.form.AbstractFormTagTests	EMPTY	EMPTY	0	0	0	25
org.springframework.web.servlet.tags.form.AbstractHtmlElementTagTests	EMPTY	EMPTY	0	0	0	4
org.springframework.web.servlet.view.groovy.GroovyMarkupViewTests	FAIL	OK	10	10	0	8223
org.springframework.web.socket.AbstractHttpRequestTests	EMPTY	EMPTY	0	0	0	1124
org.springframework.web.socket.AbstractWebSocketIntegrationTests	EMPTY	EMPTY	0	0	0	1448
org.springframework.web.socket.config.MessageBrokerBeanDefinitionParserTests	FAIL	OK	8	8	0	5746
org.springframework.web.socket.config.annotation.WebSocketMessageBrokerConfigurationSupportTests	FAIL	OK	12	12	0	1192
org.springframework.web.socket.messaging.StompWebSocketIntegrationTests	FAIL	OK	16	16	0	6913
org.springframework.web.socket.sockjs.client.AbstractSockJsIntegrationTests	EMPTY	EMPTY	0	0	0	14
org.springframework.web.socket.sockjs.transport.session.AbstractSockJsSessionTests	EMPTY	EMPTY	0	0	0	6
